"job_title","job_title_short","job_location","search_location","job_schedule_type","job_no_degree_mention","job_health_insurance","salary_year_avg","company_name"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"90000.0","Get It Recruit - Real Estate"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"90000.0","Get It Recruit - Real Estate"
"Data Analyst or Data Scientist","Data Analyst","Anywhere","Illinois, United States","Full-time","",1,"90000.0","Get It Recruit - Finance"
"Credit Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","",1,"90000.0","Get It Recruit - Finance"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time",1,1,"90000.0","Motion Recruitment"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"90000.0","Get It Recruit - Administrative"
"Fraud Data Analyst","Data Analyst","Anywhere","Texas, United States","Full-time","",1,"90000.0","Get It Recruit - Finance"
"Telecom Data Analyst","Data Analyst","Anywhere","Texas, United States","Full-time",1,"","90000.0","Axelerate"
"Data Science Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"90000.0","CVS Health"
"Healthcare Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time",1,1,"90000.0","Preveta"
"Data Analyst","Data Analyst","Anywhere","Sweden","Full-time","",1,"90000.0","Gotely"
"Data Analyst, Supply Chain (Remote)","Data Analyst","Anywhere","Georgia","Full-time","","","90000.0","Home Depot / THD"
"Real Estate Transaction Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"90000.0","Get It Recruit - Real Estate"
"Healthcare Data Analyst","Data Analyst","Anywhere","Illinois, United States","Full-time","","","90000.0","Adaptive Solutions Group"
"100% REMOTE Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time",1,1,"90000.0","CyberCoders"
"Data Analyst","Data Analyst","Anywhere","Georgia","Full-time","",1,"90000.0","Get It Recruit - Finance"
"Data Analyst","Data Analyst","Anywhere","Texas, United States","Full-time","",1,"90000.0","Get It Recruit - Finance"
"Clinical Data Analyst","Data Analyst","Anywhere","Georgia","Full-time","","","90000.0","Engage Partners Inc."
"Data Analyst","Data Analyst","Anywhere","Colombia","Full-time","","","90000.0","Angi"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time",1,"","90000.0","hackajob"
"Data Analyst 2 - Albany - Research and Statistics","Data Analyst","Anywhere","New York, United States","Full-time","","","89833.5","Labor, Department of"
"Data Analyst (Modeling) (Remote)","Data Analyst","Anywhere","California, United States","Full-time","","","89796.0","Heluna Health"
"Mobile Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"89500.0","Verizon"
"Marketing Data Analyst (Remote)","Data Analyst","Anywhere","New York, United States","Full-time",1,"","89000.0","World Education Services"
"Health Data Systems Analyst","Data Analyst","Anywhere","Florida, United States","Full-time","",1,"88000.0","Get It Recruit - Information Technology"
"Supply Chain Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"88000.0","Get It Recruit - Transportation"
"Data Analyst - New Grad - Remote","Data Analyst","Anywhere","Illinois, United States","Full-time",1,1,"87500.0","SeatGeek"
"Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","",1,"87500.0","Get It Recruit - Information Technology"
"Media Data Analyst/Media Coordinator","Data Analyst","Anywhere","New York, United States","Full-time","",1,"87500.0","Get It Recruit - Administrative"
"Healthcare Data Analyst","Data Analyst","Anywhere","Georgia","Full-time",1,1,"87500.0","Vatica Health"
"Data Analyst","Data Analyst","Anywhere","Illinois, United States","Contractor","","","87500.0","Beacon Hill Staffing Group"
